"Fecha","Producto","Cantidad","Precio","Total"
2024-01-31,"Monitor",2,283.71247688774,567.42495377548
2024-01-15,"Teclado",7,68.3512301929295,478.458611350507
2024-01-19,"Mouse",3,50.7156757172197,152.147027151659
2024-01-14,"Mouse",2,54.612299380824,109.224598761648
2024-01-03,"Auriculares",1,41.6458620689809,41.6458620689809
2024-01-10,"Tablet",6,352.993982331827,2117.96389399096
2024-01-18,"Laptop",6,943.83520053234,5663.01120319404
2024-01-22,"Tablet",4,441.550263715908,1766.20105486363
2024-01-11,"Teclado",5,81.2113551236689,406.056775618345
2024-01-05,"Tablet",5,441.909208055586,2209.54604027793
2024-01-20,"Tablet",10,412.625902309082,4126.25902309082
2024-01-14,"Mouse",8,-12.3546343529597,-98.8370748236775
2024-01-22,"Mouse",6,-10.735836206004,-64.4150172360241
2024-01-25,"Monitor",10,318.164386041462,3181.64386041462
2024-01-26,"Monitor",7,342.302481713705,2396.11737199593
2024-01-27,"Monitor",3,265.065242908895,795.195728726685
2024-01-05,"Auriculares",1,88.4846845176071,88.4846845176071
2024-01-19,"Auriculares",2,45.0182621134445,90.036524226889
2024-01-27,"Silla Gamer",10,154.666999261826,1546.66999261826
2024-01-25,"Monitor",5,332.346804463305,1661.73402231652
2024-01-28,"Monitor",5,346.6285669012,1733.142834506
2024-01-25,"Tablet",7,430.739578930661,3015.17705251463
2024-01-09,"Mouse",1,4.62527263443917,4.62527263443917
2024-01-29,"Auriculares",1,19.7892070980743,19.7892070980743
2024-01-03,"Mouse",10,-4.83270741533488,-48.3270741533488
2024-01-08,"Mouse",2,9.95126864872873,19.9025372974575
2024-01-26,"Monitor",2,272.40848634392,544.81697268784
2024-01-07,"Impresora",5,116.449171002023,582.245855010115
2024-01-10,"Silla Gamer",1,159.272995102219,159.272995102219
2024-01-09,"Auriculares",3,63.2899892982095,189.869967894629
2024-01-30,"Teclado",10,98.4788343356922,984.788343356922
2024-01-19,"Teclado",9,25.9489298146218,233.540368331596
2024-01-04,"Impresora",3,108.429965469986,325.289896409959
2024-01-14,"Mouse",2,-24.5722276158631,-49.1444552317262
2024-01-17,"Mouse",1,-10.7779285172001,-10.7779285172001
2024-01-11,"Laptop",9,942.919370369054,8486.27433332149
2024-01-07,"Teclado",3,36.1884823115543,108.565446934663
2024-01-21,"Auriculares",2,98.8501149928197,197.700229985639
2024-01-12,"Impresora",9,170.422325958498,1533.80093362648
2024-01-15,"Teclado",10,52.4542554793879,524.542554793879
2024-01-10,"Silla Gamer",10,182.808523345739,1828.08523345739
2024-01-13,"Auriculares",6,77.6702075731009,466.021245438606
2024-01-07,"Laptop",6,899.860312812962,5399.16187687777
2024-01-09,"Mouse",8,24.7006849851459,197.605479881167
2024-01-09,"Monitor",4,276.637484016828,1106.54993606731
2024-01-10,"Teclado",2,112.980143497698,225.960286995396
2024-01-23,"Auriculares",1,67.7545783109963,67.7545783109963
2024-01-27,"Impresora",2,171.025983220898,342.051966441795
2024-01-28,"Silla Gamer",7,178.179407468997,1247.25585228298
2024-01-21,"Auriculares",7,58.0691942945123,406.484360061586
2024-01-07,"Auriculares",4,95.4256804427132,381.702721770853
2024-01-21,"Tablet",5,353.599854838103,1767.99927419052
2024-01-27,"Monitor",10,301.023594220169,3010.23594220169
2024-01-06,"Teclado",1,106.058595543727,106.058595543727
2024-01-25,"Tablet",10,377.7492366964,3777.492366964
2024-01-02,"Teclado",9,56.2849079770967,506.564171793871
2024-01-29,"Tablet",7,441.651750309393,3091.56225216575
2024-01-05,"Mouse",5,-16.9764625607058,-84.8823128035292
2024-01-08,"Tablet",7,401.272463728674,2808.90724610072
2024-01-12,"Mouse",5,17.0037846080959,85.0189230404794
2024-01-31,"Tablet",2,365.804946655408,731.609893310815
2024-01-13,"Mouse",8,19.9557990999892,159.646392799914
2024-01-18,"Tablet",7,366.962073650211,2568.73451555148
2024-01-01,"Mouse",10,60.5247208615765,605.247208615765
